Epoch [20/100], Loss: 1.0647, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0650, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0652, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0654, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0656, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0658, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0658, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0659, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0660, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 400, hidden_size: 200, accuracy: 0.5156
Epoch [10/100], Loss: 1.0632, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0635, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0639, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0642, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0646, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0648, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0651, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0653, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0655, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0657, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 400, hidden_size: 300, accuracy: 0.5156
Epoch [10/100], Loss: 1.0673, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0676, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0678, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0679, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0680, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0680, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0680, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0680, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0680, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0679, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 400, hidden_size: 400, accuracy: 0.5156
Epoch [10/100], Loss: 1.0615, Accuracy: 0.5156
Epoch [20/100], Loss: 1.0621, Accuracy: 0.5156
Epoch [30/100], Loss: 1.0626, Accuracy: 0.5156
Epoch [40/100], Loss: 1.0630, Accuracy: 0.5156
Epoch [50/100], Loss: 1.0633, Accuracy: 0.5156
Epoch [60/100], Loss: 1.0636, Accuracy: 0.5156
Epoch [70/100], Loss: 1.0638, Accuracy: 0.5156
Epoch [80/100], Loss: 1.0640, Accuracy: 0.5156
Epoch [90/100], Loss: 1.0641, Accuracy: 0.5156
Epoch [100/100], Loss: 1.0642, Accuracy: 0.5156
learning_rate: 0.0001, batch_size: 400, hidden_size: 500, accuracy: 0.5156
Epoch [10/100], Loss: 1.0474, Accuracy: 0.5337
Epoch [20/100], Loss: 1.0476, Accuracy: 0.5337
Epoch [30/100], Loss: 1.0477, Accuracy: 0.5337
Epoch [40/100], Loss: 1.0478, Accuracy: 0.5337
Epoch [50/100], Loss: 1.0479, Accuracy: 0.5337
Epoch [60/100], Loss: 1.0481, Accuracy: 0.5337
Epoch [70/100], Loss: 1.0482, Accuracy: 0.5337
Epoch [80/100], Loss: 1.0482, Accuracy: 0.5337
Epoch [90/100], Loss: 1.0483, Accuracy: 0.5337
